t,x,y,theta,rho,ex_w,ey_w,vx,vy,w,reached
1.692,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.712,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.732,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.752,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.772,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.793,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.812,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.832,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.853,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.872,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.892,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.912,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.933,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.952,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.972,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
1.992,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.013,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.032,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.052,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.072,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.092,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.112,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.132,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.152,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.172,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.192,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.212,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.232,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.253,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.272,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.292,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.312,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.332,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.353,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.372,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.392,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.412,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.432,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.452,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.472,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.492,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.512,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.532,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.552,-0.2564,0.4770,-0.0000,0.8524,0.7064,-0.4770,0.1768,-0.1768,0.0000,0
2.573,-0.2538,0.4744,-0.0000,0.8488,0.7038,-0.4744,0.1768,-0.1768,0.0000,0
2.593,-0.2538,0.4744,-0.0000,0.8488,0.7038,-0.4744,0.1768,-0.1768,0.0000,0
2.613,-0.2538,0.4744,-0.0000,0.8488,0.7038,-0.4744,0.1768,-0.1768,0.0000,0
2.632,-0.2525,0.4731,-0.0000,0.8470,0.7025,-0.4731,0.1768,-0.1768,0.0000,0
