t,x,y,theta,rho,ex_w,ey_w,vx,vy,w,reached
1.670,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.690,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.711,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.730,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.750,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.770,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.790,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.811,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.830,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.850,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.870,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.890,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.911,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.930,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.950,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.970,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
1.991,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.011,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.030,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.050,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.070,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.091,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.112,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.130,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.150,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.170,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.190,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.211,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.230,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.250,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.270,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.291,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.312,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.330,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.350,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.370,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.390,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.411,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.430,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.450,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.470,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.491,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.511,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.531,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.550,0.4054,0.0215,-0.0000,1.0259,0.0946,-1.0215,0.0724,-0.2393,0.0000,0
2.570,0.4059,0.0197,-0.0000,1.0241,0.0941,-1.0197,0.0709,-0.2397,0.0000,0
2.591,0.4064,0.0180,-0.0000,1.0223,0.0936,-1.0180,0.0705,-0.2398,0.0000,0
2.611,0.4064,0.0180,-0.0000,1.0223,0.0936,-1.0180,0.0717,-0.2395,0.0000,0
2.631,0.4070,0.0162,-0.0000,1.0204,0.0930,-1.0162,0.0702,-0.2399,0.0000,0
2.650,0.4075,0.0144,-0.0000,1.0186,0.0925,-1.0144,0.0698,-0.2401,0.0000,0
2.670,0.4075,0.0144,-0.0000,1.0186,0.0925,-1.0144,0.0710,-0.2397,0.0000,0
2.690,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0694,-0.2402,0.0000,0
2.712,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.731,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.751,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.771,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.793,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.812,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.830,0.4080,0.0127,-0.0000,1.0168,0.0920,-1.0127,0.0706,-0.2398,0.0000,0
2.850,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0691,-0.2403,0.0000,0
2.870,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0702,-0.2399,0.0000,0
2.890,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0702,-0.2399,0.0000,0
2.910,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0702,-0.2399,0.0000,0
2.930,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0702,-0.2399,0.0000,0
2.951,0.4085,0.0109,-0.0000,1.0150,0.0915,-1.0109,0.0702,-0.2399,0.0000,0
