t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
2.783,-0.3951,-1.0000,-0.0000,0.3951,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.805,-0.3951,-1.0000,-0.0000,0.3951,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.823,-0.3951,-1.0000,-0.0000,0.3951,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.843,-0.3951,-1.0000,-0.0000,0.3951,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.863,-0.3951,-1.0000,-0.0000,0.3951,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.884,-0.3907,-1.0000,-0.0000,0.3907,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.903,-0.3907,-1.0000,-0.0000,0.3907,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.923,-0.3848,-1.0000,-0.0000,0.3848,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.943,-0.3789,-1.0000,-0.0000,0.3789,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.963,-0.3789,-1.0000,-0.0000,0.3789,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
2.983,-0.3789,-1.0000,-0.0000,0.3789,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.003,-0.3730,-1.0000,-0.0000,0.3730,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.023,-0.3686,-1.0000,-0.0000,0.3686,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.044,-0.3686,-1.0000,-0.0000,0.3686,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.063,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.083,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.103,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.124,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.143,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.164,-0.3671,-1.0000,-0.0000,0.3671,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.183,-0.3626,-1.0000,-0.0000,0.3626,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.203,-0.3626,-1.0000,-0.0000,0.3626,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
3.223,-0.3626,-1.0000,-0.0000,0.3626,0.2000,0.0000,0.0000,0,0.0000,-1.0000,0
