t,x,y,theta,rho,vx,vy,w,wp_idx,ideal_x,ideal_y,reached
1.004,-0.4668,-1.0000,-0.0000,1.4668,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.024,-0.4649,-1.0000,-0.0000,1.4649,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.043,-0.4612,-1.0000,-0.0000,1.4612,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.063,-0.4594,-1.0000,-0.0000,1.4594,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.083,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.103,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.123,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.145,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.163,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.183,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.204,-0.4557,-1.0000,-0.0000,1.4557,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.225,-0.4539,-1.0000,-0.0000,1.4539,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.243,-0.4520,-1.0000,-0.0000,1.4520,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.263,-0.4483,-1.0000,-0.0000,1.4483,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.283,-0.4446,-1.0000,-0.0000,1.4446,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.303,-0.4428,-1.0000,-0.0000,1.4428,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.323,-0.4391,-1.0000,-0.0000,1.4391,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.343,-0.4391,-1.0000,-0.0000,1.4391,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.363,-0.4391,-1.0000,-0.0000,1.4391,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.383,-0.4391,-1.0000,-0.0000,1.4391,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.405,-0.4391,-1.0000,-0.0000,1.4391,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.423,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.443,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.463,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
1.484,-0.4372,-1.0000,-0.0000,1.4372,0.2500,0.0000,0.0000,1,1.0000,-1.0000,0
